"Record ID","Company name","Company owner","Create Date","Type","Lifecycle Stage","Lead Status","Associated Deal","Associated Deal IDs"
"31490463366","Otte AS","Carl Petterson","2025-03-28 12:45","Prospect","Lead","Connected","",""
"31453492905","Beyond","Carl Petterson","2025-03-27 14:53","Prospect","Lead","Connected","",""
"31449915244","Nyby","Carl Petterson","2025-03-27 13:19","Prospect","Lead","","",""
"31449653010","Yne","Gjermunds Moastuen","2025-03-27 10:08","Prospect","Lead","New","",""
"31448972042","Varner","Gjermunds Moastuen","2025-03-27 09:12","Prospect","Lead","Attempted to Contact","",""
"31446734197","STORY HOUSE EGMONT AS","Gjermunds Moastuen","2025-03-27 08:25","Prospect","Lead","Attempted to Contact","",""
"31446734093","Galleon Embedded Computing","Gjermunds Moastuen","2025-03-27 08:20","Prospect","Lead","New","",""
"31432250215","Active Brands","Gjermunds Moastuen","2025-03-26 15:43","Prospect","Lead","New","",""
"31432247411","Trondrud Engineering","Gjermunds Moastuen","2025-03-26 15:23","Prospect","Lead","New","",""
"31417870498","Montel","Gjermunds Moastuen","2025-03-26 15:13","Prospect","Lead","Attempted to Contact","",""
"31432236945","Gexcon","Gjermunds Moastuen","2025-03-26 13:57","Prospect","Lead","Attempted to Contact","",""
"31417860470","Vard","Gjermunds Moastuen","2025-03-26 13:49","Prospect","Lead","Connected","",""
"31405982475","frontline.cy","Gjermunds Moastuen","2025-03-26 13:22","Prospect","Lead","Attempted to Contact","",""
"31432233741","Frontline","Gjermunds Moastuen","2025-03-26 13:14","Prospect","Lead","Attempted to Contact","",""
"31417853461","Colli Care","Gjermunds Moastuen","2025-03-26 11:50","Prospect","Lead","Attempted to Contact","",""
"31417852679","Aqua Kompetanse","Gjermunds Moastuen","2025-03-26 11:34","Prospect","Lead","Attempted to Contact","",""
"31434023578","Svea Bank","Gjermunds Moastuen","2025-03-26 10:56","Prospect","Lead","Attempted to Contact","",""
"31417846072","BankID BankAxcept AS","Gjermunds Moastuen","2025-03-26 09:37","Prospect","Lead","Attempted to Contact","",""
"31417842029","Oslo Universitetssykehus","Carl Petterson","2025-03-26 07:41","Prospect","Lead","Connected","",""
"31415334760","Odercontrol","Gjermunds Moastuen","2025-03-25 17:02","Prospect","Lead","Connected","",""
"31416679232","Norsk Sau og Geit","Gjermunds Moastuen","2025-03-25 16:55","Prospect","Lead","Attempted to Contact","",""
"31378440285","Prelect","Carl Petterson","2025-03-24 21:45","Prospect","Lead","Attempted to Contact","",""
"31309577307","Mapsi","Gjermunds Moastuen","2025-03-24 12:57","Prospect","Lead","Attempted to Contact","",""
