"Record ID","Deal Name","Deal Stage","Close Date","Deal owner","Amount","Deal Type"
"34353066361","QR Pay - Ny avtale","Stage 2: Qualification","2025-09-07 13:10","Gjermunds Moastuen","161180.0","New Business"
"34353066279","NXT Oslo Reklamebyrå - Ny avtale","Stage 6: Closed-Lost","2025-03-07 13:14","Gjermunds Moastuen","161180.0","New Business"
"34345703864","VARIANT TRONDHEIM AS - Ny avtale","Stage 2: Qualification","2025-09-07 12:55","Gjermunds Moastuen","161180.0","New Business"
"34345702569","QR Pay - Ny avtale","Stage 2: Qualification","2025-09-07 12:39","Gjermunds Moastuen","80590.0","New Business"
"32770418577","QR Pay","Stage 2: Qualification","2025-07-30 17:10","Gjermunds Moastuen","161180.0","New Business"
"34453775219","Agnito AS","Stage 4: Contract Walkthrough","2025-07-30 17:08","Gjermunds Moastuen","161180.0","New Business"
"34454412584","24 Nettbutikk","Stage 2: Qualification","2025-07-30 17:06","Gjermunds Moastuen","161180.0","New Business"
"34453775119","Beat Technology AS","Stage 2: Qualification","2025-07-20 11:07","Gjermunds Moastuen","161180.0","New Business"
"34454412429","Sportoutlet.no AS","Stage 2: Qualification","2025-07-20 11:03","Gjermunds Moastuen","161180.0","New Business"
"31649837361","Algora AS","Stage 3: Solution Presentation","2025-04-30 12:35","Gjermunds Moastuen","161180.0","New Business"
"30337780297","Kreftforeningen - Data Engineers","Stage 2: Qualification","2025-05-31 13:29","Carl Petterson","161180.0","New Business"
"29784351369","Noova AS","Stage 2: Qualification","2024-12-31 17:02","Gjermunds Moastuen","161180.0","New Business"
"29772670727","NXT AS","Stage 6: Closed-Lost","2025-03-04 12:07","Gjermunds Moastuen","161180.0","New Business"
"29770678294","Cegal AS","Stage 2: Qualification","2025-05-31 12:07","Carl Petterson","80590.0","New Business"
"29770677583","Variant AS","Stage 2: Qualification","2025-06-30 12:08","Gjermunds Moastuen","161180.0","New Business"
"29772668730","Ahead Group","Stage 3: Solution Presentation","2025-04-30 12:15","Gjermunds Moastuen","161180.0","New Business"
"29767046968","QRPay","Stage 2: Qualification","2025-06-30 12:08","Gjermunds Moastuen","161180.0","New Business"
"29768021859","Imara - New Deal","Stage 3: Solution Presentation","2024-12-20 14:22","Gjermunds Moastuen","80590.0","New Business"
"28584246032","Glasspaper People AS","Stage 3: Solution Presentation","2024-11-30 07:42","Gjermunds Moastuen","1.0","New Business"
"28584245664","Strise","Stage 3: Solution Presentation","2025-03-31 07:32","Gjermunds Moastuen","161180.0","New Business"
"28353923725","BackITup","Stage 6: Closed-Lost","2025-01-07 14:35","Gjermunds Moastuen","1.0","New Business"
"28351078441","Byggfakta Group AB","Stage 6: Closed-Lost","2025-02-20 12:02","Gjermunds Moastuen","161180.0","New Business"
"28353465437","Storeshop","Stage 2: Qualification","2025-06-30 12:09","Gjermunds Moastuen","161180.0","New Business"
"28353277740","Unloc","Stage 6: Closed-Lost","2025-02-20 12:02","Gjermunds Moastuen","161180.0","New Business"
"28353277219","Itera AS","Stage 2: Qualification","2025-06-30 12:09","Gjermunds Moastuen","161180.0","New Business"
"28353277080","Nova Group AS","Stage 6: Closed-Lost","2025-02-27 15:01","Gjermunds Moastuen","161180.0","New Business"
"28353276480","Link Mobility AS","Stage 2: Qualification","2025-05-31 12:10","Gjermunds Moastuen","161180.0","New Business"
"28351076225","Obos","Stage 6: Closed-Lost","2025-05-31 12:00","Gjermunds Moastuen","161180.0","New Business"
"28353261121","RedHat","Stage 2: Qualification","2025-05-31 12:01","Gjermunds Moastuen","161180.0","New Business"
"28353062793","Ledidi","Stage 6: Closed-Lost","2025-06-30 12:01","Gjermunds Moastuen","161180.0","New Business"
"28353061705","Inspirit 365","Stage 2: Qualification","2025-05-31 12:14","Gjermunds Moastuen","161180.0","New Business"
"28353034629","Atea","Stage 2: Qualification","2025-05-31 12:14","Gjermunds Moastuen","1.0","New Business"
"28352450985","Prevas AS","Stage 6: Closed-Lost","2025-03-04 12:13","Gjermunds Moastuen","161180.0","New Business"
"28351004019","Glasspaper Solutions AS","Stage 3: Solution Presentation","2025-05-31 12:04","Gjermunds Moastuen","161180.0","New Business"
"34453775254","Telenor Hub","Stage 3: Solution Presentation","2025-11-30 12:03","Gjermunds Moastuen","402950.0","New Business"
"23362798131","Voglio","Stage 3: Solution Presentation","2025-04-30 12:04","Gjermunds Moastuen","161180.0","New Business"
"23362774873","Prosper AI - Medium/High","Stage 2: Qualification","2025-05-31 13:38","Carl Petterson","161180.0","New Business"
"22992694368","LISA Solutions","Stage 6: Closed-Lost","2025-03-03 13:55","Gjermunds Moastuen","161180.0","New Business"
"22956975767","Innocode","Stage 6: Closed-Lost","2025-03-09 12:05","Gjermunds Moastuen","180000.0","New Business"
"22992184198","GSGroup","Stage 2: Qualification","2025-06-30 09:32","Carl Petterson","161180.0","New Business"
"22933410902","Liberty Now","Stage 3: Solution Presentation","2025-05-31 12:02","Gjermunds Moastuen","161180.0","New Business"
