"Record ID","Company name","Company owner","Create Date","Type","Lifecycle Stage","Lead Status","Associated Deal","Associated Deal IDs"
"34742899044","Devora","Gjermund Moastuen","2025-06-06 12:01","Prospect","Lead","Attempted to Contact","",""
"34742896781","Mixmove","Carl Petterson","2025-06-06 11:04","Prospect","Lead","New","",""
"34779890279","MyFoodOffice","Carl Petterson","2025-06-06 10:52","Prospect","Lead","New","",""
"34742896268","Riddlebit","Carl Petterson","2025-06-06 10:49","Prospect","Lead","New","",""
"34742869585","Kratos Norway AS","Gjermund Moastuen","2025-06-05 15:57","Prospect","Lead","New","",""
"34668489517","Onyx","Gjermund Moastuen","2025-06-05 14:23","Prospect","Lead","Attempted to Contact","",""
"34704956054","Proserv","Gjermund Moastuen","2025-06-05 09:40","Prospect","Lead","Attempted to Contact","",""
"34748009252","WELL ID AS","Gjermund Moastuen","2025-06-05 08:54","Prospect","Lead","Attempted to Contact","",""
"34668483900","Tann- Kjeve og Ansiktskirurgisk Klinikk AS","Gjermund Moastuen","2025-06-05 08:11","Prospect","Lead","Connected","",""
"34643452828","Ework Group","Gjermund Moastuen","2025-06-04 12:48","Prospect","Lead","Connected","",""
"34628786814","Cujo","Gjermund Moastuen","2025-06-04 12:22","Prospect","Lead","Attempted to Contact","",""
"34637922663","Snowflake","Gjermund Moastuen","2025-06-04 11:15","Prospect","Lead","Attempted to Contact","",""
"34647759219","Client Server","Gjermund Moastuen","2025-06-04 09:11","Prospect","Lead","Attempted to Contact","",""
"34611141434","Nåva Space","Carl Petterson","2025-06-03 20:29","Prospect","Lead","New","",""
"34588564231","Tine","Gjermund Moastuen","2025-06-03 15:55","Prospect","Lead","New","",""
"34564006968","Midio","Carl Petterson","2025-06-03 14:51","Prospect","Lead","Attempted to Contact","",""
"34522594310","Lace Lithopgraphy","Gjermund Moastuen","2025-06-03 07:24","Prospect","Lead","New","",""
"34554667340","Gallagher & Robertson","Gjermund Moastuen","2025-06-03 07:02","Prospect","Lead","Attempted to Contact","",""
"34542161265","TaskCtrl","Gjermund Moastuen","2025-06-03 06:53","Prospect","Lead","Attempted to Contact","",""
"34524418469","Lovdata","Gjermund Moastuen","2025-06-03 06:41","Prospect","Lead","New","",""
"34513970865","Forsta","Gjermund Moastuen","2025-06-02 19:45","Prospect","Lead","New","",""
"34513959698","Barde Software AS","Carl Petterson","2025-06-02 12:54","Prospect","Lead","New","",""
"34513959605","Fürst","Gjermund Moastuen","2025-06-02 12:50","Prospect","Lead","Attempted to Contact","",""
"34514020761","H5P Group AS","Gjermund Moastuen","2025-06-02 12:34","Prospect","Lead","Attempted to Contact","",""
"34524395107","Fagbrev","Gjermund Moastuen","2025-06-02 12:17","Prospect","Lead","Attempted to Contact","",""
"34542137601","Knips","Gjermund Moastuen","2025-06-02 11:38","Prospect","Lead","Attempted to Contact","",""
"34514020151","Represent","Gjermund Moastuen","2025-06-02 11:30","Prospect","Lead","Attempted to Contact","",""
"34542137178","Qwips","Gjermund Moastuen","2025-06-02 11:09","Prospect","Lead","Attempted to Contact","",""
"34542136451","Stimline digital","Gjermund Moastuen","2025-06-02 10:15","Prospect","Lead","Attempted to Contact","",""
"34514017568","A 2","Gjermund Moastuen","2025-06-02 08:13","Prospect","Lead","Attempted to Contact","",""
"34628786077","vhosting.no","Gjermund Moastuen","2025-06-02 07:18","Prospect","Lead","New","",""
"34513955457","CICERO","Gjermund Moastuen","2025-06-02 06:38","Prospect","Lead","New","",""
"34453836566","Endor","Gjermund Moastuen","2025-05-30 15:14","Prospect","Lead","Attempted to Contact","",""
"34453835142","Space Norway","Gjermund Moastuen","2025-05-30 14:05","Prospect","Lead","Attempted to Contact","",""
"34462190641","Skuld","Gjermund Moastuen","2025-05-30 13:24","Prospect","Lead","Attempted to Contact","",""
"34380810641","OpenHorizon","Carl Petterson","2025-05-30 12:34","Prospect","Lead","Attempted to Contact","",""
"34461661528","Morescope","Carl Petterson","2025-05-30 12:32","Prospect","Lead","Attempted to Contact","",""
"34461106074","Cradl","Carl Petterson","2025-05-30 12:29","Prospect","Lead","New","",""
"34380810563","Justify AS","Carl Petterson","2025-05-30 12:22","Prospect","Lead","Attempted to Contact","",""
"34453833882","Bluejam","Carl Petterson","2025-05-30 12:19","Prospect","Lead","New","",""
"34463580434","Done","Carl Petterson","2025-05-30 12:12","Prospect","Lead","New","",""
"34380810409","Unlisted","Carl Petterson","2025-05-30 12:10","Prospect","Lead","New","",""
"34453832474","Praktisk Utdanning AS","Carl Petterson","2025-05-30 10:42","Prospect","Lead","Attempted to Contact","",""
