"Record ID","Deal Name","Deal Stage","Close Date","Deal owner","Amount","Deal Type","Associated Company (Primary)","Associated Company IDs (Primary)"
"34454412584","24 Nettbutikk","Stage 2: Qualification","2025-07-30 17:06","Gjermund Moastuen","161180.0","New Business","SINCOS SOFTWARE AS","17309792529"
"34453775219","Agnito AS","Stage 4: Contract Walkthrough","2025-07-30 17:08","Gjermund Moastuen","161180.0","New Business","Agnito AS","28688529963"
"34692381727","Ahead Group","Stage 3: Solution Presentation","2025-10-31 15:04","Gjermund Moastuen","161180.0","New Business","Ahead Group AS","30318964028"
"31649837361","Algora AS","Stage 3: Solution Presentation","2025-04-30 12:35","Gjermund Moastuen","161180.0","New Business","Algora AS","26531038506"
"28353034629","Atea","Stage 2: Qualification","2025-05-31 12:14","Gjermund Moastuen","1.0","New Business","Atea AS","22744389172"
"34453775119","Beat Technology AS","Stage 2: Qualification","2025-09-30 15:04","Gjermund Moastuen","161180.0","New Business","Beat Technology AS","28669774900"
"36173050208","eXOREAction - Ny Deal","Stage 2: Qualification","2025-12-31 13:53","Gjermund Moastuen","161180.0","New Business","eXOREAction","32446399040"
"28584246032","Glasspaper People AS","Stage 3: Solution Presentation","2024-11-30 07:42","Gjermund Moastuen","1.0","New Business","Glasspaper Group AS","30318964624"
"28351004019","Glasspaper Solutions AS","Stage 3: Solution Presentation","2025-05-31 12:04","Gjermund Moastuen","161180.0","New Business","Glasspaper Group AS","30318964624"
"36393369943","Grete Roede AS - New Deal","Stage 2: Qualification","2025-10-31 11:31","Carl Petterson","161180.0","New Business","Grete Roede AS","29431630390"
"38450240891","Healthsum - Ny Deal","Stage 2: Qualification","2025-12-04 09:26","Gjermund Moastuen","805900.0","New Business","Healthsum","32947422107"
"37551362715","Hoosly - Ny Deal","Stage 2: Qualification","2025-11-22 09:29","Gjermund Moastuen","161180.0","New Business","Hoosly","31804167489"
"29768021859","Imara - New Deal","Stage 3: Solution Presentation","2024-12-20 14:22","Gjermund Moastuen","80590.0","New Business","Imara","26289461292"
"28353061705","Inspirit 365","Stage 2: Qualification","2025-05-31 12:14","Gjermund Moastuen","161180.0","New Business","Insperit 365 AS","30318964594"
"34943563412","Integra AS - Ny avtale","Stage 2: Qualification","2025-09-24 07:09","Gjermund Moastuen","161180.0","New Business","Integrera","31042597754"
"28353277219","Itera AS","Stage 2: Qualification","2025-06-30 12:09","Gjermund Moastuen","161180.0","New Business","ITERA NORGE AS","30326238214"
"30337780297","Kreftforeningen - Data Engineers","Stage 3: Solution Presentation","2025-05-31 13:29","Carl Petterson","161180.0","New Business","Kreftforeningen","26828765042"
"22933410902","Liberty Now","Stage 3: Solution Presentation","2025-05-31 12:02","Gjermund Moastuen","161180.0","New Business","Liberty Now AS","30318964555"
"28353276480","Link Mobility AS","Stage 2: Qualification","2025-05-31 12:10","Gjermund Moastuen","161180.0","New Business","LINK MOBILITY GROUP AS","30326240075"
"37728946438","Nettavisen - Ny Deal","Stage 2: Qualification","2025-11-23 12:15","Gjermund Moastuen","161180.0","New Business","Nettavisen","26888406031"
"29784351369","Noova AS","Stage 2: Qualification","2024-12-31 17:02","Gjermund Moastuen","161180.0","New Business","Noova Energi System AS","23554984256"
"36943833191","Nxtech AS - Ny avtale","Stage 2: Qualification","2025-11-07 08:47","Gjermund Moastuen","161180.0","New Business","Nxtech","34660176734"
"34689145910","Outsearching - Ny avtale","Stage 4: Contract Walkthrough","2025-09-15 10:20","Gjermund Moastuen","322360.0","New Business","Outsearching","31042613083"
"34651666763","OwnersRoom - Ny avtale","Stage 3: Solution Presentation","2025-09-15 10:08","Gjermund Moastuen","161180.0","New Business","OwnersRoom","30038832773"
"23362774873","Prosper AI - Medium/High","Stage 2: Qualification","2025-05-31 13:38","Carl Petterson","161180.0","New Business","Prosper","23557388374"
"37895434063","Proventus AS - Ny Deal","Stage 2: Qualification","2025-11-26 13:41","Gjermund Moastuen","161180.0","New Business","Proventus AS","30326238242"
"34560592143","QR Pay - Ny avtale","Stage 2: Qualification","2025-09-07 13:10","Gjermund Moastuen","161180.0","New Business","QR Pay","26113465509"
"37408733775","Questigate - Ny Deal","Stage 2: Qualification","2025-11-19 06:37","Gjermund Moastuen","161180.0","New Business","Questigate","33410940213"
"35525483151","Reodor Studios","Stage 2: Qualification","2025-10-07 14:17","Gjermund Moastuen","161180.0","New Business","Reodor Studios","31009503043"
"34943562496","Situne - Ny avtale","Stage 2: Qualification","2025-09-24 06:45","Gjermund Moastuen","161180.0","New Business","Situne AS","30779031919"
"34454412429","Sportoutlet.no AS","Stage 2: Qualification","2025-07-20 11:03","Gjermund Moastuen","161180.0","New Business","Sport Outlet","28386516253"
"28353465437","Storeshop","Stage 2: Qualification","2025-06-30 12:09","Gjermund Moastuen","161180.0","New Business","Storeshop.no","22281463336"
"28584245664","Strise","Stage 3: Solution Presentation","2025-03-31 07:32","Gjermund Moastuen","161180.0","New Business","Strise","23963924241"
"34453775254","Telenor Hub","Stage 3: Solution Presentation","2025-11-30 12:03","Gjermund Moastuen","402950.0","New Business","Telenor Maritim","22455275948"
"34631493772","VARIANT TRONDHEIM AS - Ny avtale","Stage 2: Qualification","2025-09-07 12:55","Gjermund Moastuen","161180.0","New Business","VARIANT TRONDHEIM AS","30318964289"
"23362798131","Voglio","Stage 3: Solution Presentation","2025-04-30 12:04","Gjermund Moastuen","240000.0","New Business","Voglio","22519192660"
